datetime,user,passRaw,identifier,subject,dataType,encrypted,suffix,errorType,errorDetails
2025-10-07_13-33,llaplace,1,sub-3000259_all_eeg_s1_r1_e1,3000259,eeg,0,s1_r1,,
2025-10-07_13-33,llaplace,1,sub-3000259_all_zoom_s1_r1_e1,3000259,zoom,1,s1_r1,,
2025-10-07_13-33,llaplace,1,sub-3000259_arrow-alert-v1-2_psychopy_s1_r1_e1,3000259,psychopy,0,s1_r1,,
2025-10-07_13-33,llaplace,1,sub-3000260_all_audacity_s1_r1_e1,3000260,audacity,1,s1_r1,,
2025-10-07_13-33,llaplace,1,sub-3000260_all_digi_s1_r1_e1,3000260,digi,1,s1_r1,,
2025-10-07_13-33,llaplace,1,sub-3000260_all_eeg_s1_r1_e1,3000260,eeg,0,s1_r1,,
2025-10-07_13-33,llaplace,1,sub-3000260_all_zoom_s1_r1_e1,3000260,zoom,1,s1_r1,,
2025-10-07_13-33,llaplace,1,sub-3000260_arrow-alert-v1-2_psychopy_s1_r1_e1,3000260,psychopy,0,s1_r1,,
2025-10-07_13-33,llaplace,1,sub-3000261_all_audacity_s1_r1_e1,3000261,audacity,1,s1_r1,,
2025-10-07_13-33,llaplace,1,sub-3000261_all_digi_s1_r1_e1,3000261,digi,1,s1_r1,,
2025-10-07_13-33,llaplace,0,sub-3000261_all_eeg_s1_r1_e1,3000261,eeg,0,s1_r1,Missing files to process,"First line of deviation file is ""At the end of the session, once the participants were done with the speech tasks, the EEG laptop displayed an error  message stating that it was waiting for USB signal. Upon checking, the USB was connected, and the computer's fan was audibly working as if the computer was doing heavy work. Although this was at the end and all data should be okay, it is still worthy to note. "", should contain ""files to process"""
2025-10-07_13-33,llaplace,1,sub-3000261_all_zoom_s1_r1_e1,3000261,zoom,1,s1_r1,,
2025-10-07_13-33,llaplace,1,sub-3000261_arrow-alert-v1-2_psychopy_s1_r1_e1,3000261,psychopy,0,s1_r1,,
2025-10-07_13-33,llaplace,1,sub-3000265_all_audacity_s1_r1_e1,3000265,audacity,1,s1_r1,,
2025-10-07_13-33,llaplace,1,sub-3000265_all_digi_s1_r1_e1,3000265,digi,1,s1_r1,,
2025-10-07_13-33,llaplace,1,sub-3000265_all_eeg_s1_r1_e1,3000265,eeg,0,s1_r1,,
2025-10-07_13-33,llaplace,1,sub-3000265_all_zoom_s1_r1_e1,3000265,zoom,1,s1_r1,,
2025-10-07_13-33,llaplace,1,sub-3000265_arrow-alert-v1-2_psychopy_s1_r1_e1,3000265,psychopy,0,s1_r1,,
2025-10-07_13-33,llaplace,0,sub-3000266_all_audacity_s1_r1_e1,3000266,audacity,1,s1_r1,Missing identifier,"Missing identifier (should be at /home/data/NDClab/datasets/test-donotuse-mini-dataset/sourcedata/raw/s1_r1/audacity/sub-3000266/, folder exists but no identifier or sub-3000266_all_audacity_s1_r1_e1_no-data.txt was found)"
2025-10-07_13-33,llaplace,1,sub-3000266_all_digi_s1_r1_e1,3000266,digi,1,s1_r1,,
2025-10-07_13-33,llaplace,1,sub-3000266_all_eeg_s1_r1_e1,3000266,eeg,0,s1_r1,,
2025-10-07_13-33,llaplace,1,sub-3000266_all_zoom_s1_r1_e1,3000266,zoom,1,s1_r1,,
2025-10-07_13-33,llaplace,1,sub-3000266_arrow-alert-v1-2_psychopy_s1_r1_e1,3000266,psychopy,0,s1_r1,,
